H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
447593,447494,99,1,4,167,1,168,162,430948667539415116316766582814,0,46477930882654235748...94151163167665828140,101,1,10,1,0,True,False,0,0,0,0
460484,460385,99,1,4,167,1,168,162,764537402218188411874481338287,9,70090989862716772241...81884118744813382879,101,1,10,1,9,True,False,9,9,9,9
465533,465434,99,1,4,167,1,168,162,844886149827139560795729139057,9,20082689003786354784...71395607957291390579,101,2,10,2,,False,True,8,9,8,9
475202,475103,99,1,4,167,1,168,162,858568197468429290417067166141,3,30395837400973858701...84292904170671661413,101,1,10,1,3,True,False,3,3,3,3
484351,484252,99,1,4,167,1,168,162,608907655734436344801490488298,3,95542449122673852851...44363448014904882983,102,1,10,1,3,True,False,3,3,3,3
485607,485508,99,1,4,167,1,168,162,926656176868862932116256560500,8,98516922005081391020...88629321162565605008,102,1,10,1,8,True,False,8,8,8,8
500000,499901,99,1,4,167,1,168,162,193325290740424876025138195242,6,34165237031653070432...04248760251381952426,101,1,10,1,6,True,False,6,6,6,6
510642,510543,99,1,4,167,1,168,162,408356160399848851377292303432,3,27839328479264705620...98488513772923034323,101,1,10,1,3,True,False,3,3,3,3
528676,528577,99,1,4,167,1,168,162,868188531550715521356754582486,2,42166756748578561416...07155213567545824862,101,1,10,1,2,True,False,2,2,2,2
534982,534883,99,1,4,167,1,168,162,558897521380576361590214842158,3,03432842134674936328...05763615902148421583,100,1,10,1,3,True,False,3,3,3,3
553096,552997,99,1,4,167,1,168,162,053463660636396370508400603225,9,15732568115366055049...63963705084006032259,101,1,10,1,9,True,False,9,9,9,9
557826,557727,99,1,4,167,1,168,162,088239346961329546058235596168,8,23264693476067359179...13295460582355961688,101,1,10,1,8,True,False,8,8,8,8
558499,558400,99,1,4,167,1,168,162,687382883091817168865047464734,2,58113338304783246584...18171688650474647342,101,2,10,2,,False,True,1,2,1,2
559377,559278,99,1,4,167,1,168,162,319090947564277462823464504961,8,47258601930480188788...42774628234645049618,101,1,10,1,8,True,False,8,8,8,8
575596,575497,99,1,4,167,1,168,162,164285764558538815095998654259,9,60583506521637181437...85388150959986542599,101,1,10,1,9,True,False,9,9,9,9
581971,581872,99,1,4,167,1,168,162,691796392094089540494967577669,1,18644027032070094133...40895404949675776691,101,1,10,1,1,True,False,1,1,1,1
593623,593524,99,1,4,167,1,168,162,655682803999261459692054638058,7,53888572605849243307...92614596920546380587,101,1,10,1,7,True,False,7,7,7,7
602561,602462,99,1,4,167,1,168,162,358307724451600378609737374314,7,73859006548375807152...16003786097373743147,102,1,10,1,7,True,False,7,7,7,7
612340,612241,99,1,4,167,1,168,162,651431942095955160726127413535,9,27489417603760297520...59551607261274135359,101,1,10,1,9,True,False,9,9,9,9
663869,663770,99,1,4,167,1,168,162,342319019174724659837227207421,0,10719482289989607372...47246598372272074210,101,1,10,1,0,True,False,0,0,0,0
685174,685075,99,1,4,167,1,168,162,821898843327591528070953988212,6,42442839171596146581...75915280709539882126,101,1,10,1,6,True,False,6,6,6,6
692847,692748,99,1,4,167,1,168,162,511564310976617009500805367466,2,67266178454961087379...66170095008053674662,101,1,10,1,2,True,False,2,2,2,2
