H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
1000000,999900,100,1,16,0,101,84,84,192,996346460422090106105779458151,3,,False,True,2,23,2,3,2,3,100
1000000,999900,100,1,16,1,101,84,85,193,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,101
1000000,999900,100,1,16,2,101,84,86,194,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,103
1000000,999900,100,1,16,4,101,84,88,196,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,105
1500000,1499900,100,1,4,0,101,168,168,192,794715117319607737991914462295,2,,False,True,2,12,1,2,1,2,101
1500000,1499900,100,1,4,1,101,168,169,192,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,101
1500000,1499900,100,1,4,2,101,168,170,193,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,102
1500000,1499900,100,1,4,4,101,168,172,194,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,103
1500000,1499900,100,1,16,0,101,84,84,192,794715117319607737991914462295,2,,False,True,2,12,1,2,1,2,101
1500000,1499900,100,1,16,1,101,84,85,193,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,102
1500000,1499900,100,1,16,2,101,84,86,194,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,103
1500000,1499900,100,1,16,4,101,84,88,196,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,106
10000,9900,100,5,4,0,105,175,175,196,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,105
10000,9900,100,5,4,1,105,175,176,196,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,106
10000,9900,100,5,4,2,105,175,177,197,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,106
10000,9900,100,5,4,4,105,175,179,198,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,108
10000,9900,100,5,16,0,105,88,88,196,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,106
10000,9900,100,5,16,1,105,88,89,198,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,107
10000,9900,100,5,16,2,105,88,90,199,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,108
10000,9900,100,5,16,4,105,88,92,201,959688159205600101655256375678,56672,56672,True,False,1,,56672,56672,56672,56672,111
50000,49900,100,5,4,0,105,175,175,196,112718106910522900246574236041,30093,,False,True,2,,30093,30094,30093,30094,105
50000,49900,100,5,4,1,105,175,176,196,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,106
50000,49900,100,5,4,2,105,175,177,197,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,106
50000,49900,100,5,4,4,105,175,179,198,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,107
50000,49900,100,5,16,0,105,88,88,196,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,106
50000,49900,100,5,16,1,105,88,89,198,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,107
